,fecha,dia,mes,ano,linea,estacion,afluencia
158,2021-06-07,7,Junio,2021,Linea 1,Pantitlán,18691
159,2021-06-08,8,Junio,2021,Linea 1,Pantitlán,16611
160,2021-06-09,9,Junio,2021,Linea 1,Pantitlán,20294
161,2021-06-10,10,Junio,2021,Linea 1,Pantitlán,28509
162,2021-06-11,11,Junio,2021,Linea 1,Pantitlán,24424
163,2021-06-12,12,Junio,2021,Linea 1,Pantitlán,30182
164,2021-06-13,13,Junio,2021,Linea 1,Pantitlán,22974
165,2021-06-14,14,Junio,2021,Linea 1,Pantitlán,23731
166,2021-06-15,15,Junio,2021,Linea 1,Pantitlán,24187
167,2021-06-16,16,Junio,2021,Linea 1,Pantitlán,23108
168,2021-06-17,17,Junio,2021,Linea 1,Pantitlán,25699
169,2021-06-18,18,Junio,2021,Linea 1,Pantitlán,22768
170,2021-06-19,19,Junio,2021,Linea 1,Pantitlán,19364
171,2021-06-20,20,Junio,2021,Linea 1,Pantitlán,13877
172,2021-06-21,21,Junio,2021,Linea 1,Pantitlán,18294
173,2021-06-22,22,Junio,2021,Linea 1,Pantitlán,18237
174,2021-06-23,23,Junio,2021,Linea 1,Pantitlán,19641
175,2021-06-24,24,Junio,2021,Linea 1,Pantitlán,29277
176,2021-06-25,25,Junio,2021,Linea 1,Pantitlán,23897
177,2021-06-26,26,Junio,2021,Linea 1,Pantitlán,26608
178,2021-06-27,27,Junio,2021,Linea 1,Pantitlán,"12,22"
179,2021-06-28,28,Junio,2021,Linea 1,Pantitlán,23494
180,2021-06-29,29,Junio,2021,Linea 1,Pantitlán,"22,42"
181,2021-06-30,30,Junio,2021,Linea 1,Pantitlán,28158
182,2021-01-01,1,Enero,2021,Linea 1,Zaragoza,8085
183,2021-01-02,2,Enero,2021,Linea 1,Zaragoza,17832
184,2021-01-03,3,Enero,2021,Linea 1,Zaragoza,"15,09"
185,2021-01-04,4,Enero,2021,Linea 1,Zaragoza,26933
186,2021-01-05,5,Enero,2021,Linea 1,Zaragoza,24849
187,2021-01-06,6,Enero,2021,Linea 1,Zaragoza,22351
188,2021-01-07,7,Enero,2021,Linea 1,Zaragoza,24328
189,2021-01-08,8,Enero,2021,Linea 1,Zaragoza,"24,83"
190,2021-01-09,9,Enero,2021,Linea 1,Zaragoza,-
191,2021-01-10,10,Enero,2021,Linea 1,Zaragoza,-
192,2021-01-11,11,Enero,2021,Linea 1,Zaragoza,-
193,2021-01-12,12,Enero,2021,Linea 1,Zaragoza,-
194,2021-01-13,13,Enero,2021,Linea 1,Zaragoza,-
195,2021-01-14,14,Enero,2021,Linea 1,Zaragoza,-
196,2021-01-15,15,Enero,2021,Linea 1,Zaragoza,-
197,2021-01-16,16,Enero,2021,Linea 1,Zaragoza,-
198,2021-01-17,17,Enero,2021,Linea 1,Zaragoza,-
199,2021-01-18,18,Enero,2021,Linea 1,Zaragoza,-
200,2021-01-19,19,Enero,2021,Linea 1,Zaragoza,-
201,2021-01-20,20,Enero,2021,Linea 1,Zaragoza,-
202,2021-01-21,21,Enero,2021,Linea 1,Zaragoza,-
203,2021-01-22,22,Enero,2021,Linea 1,Zaragoza,-
204,2021-01-23,23,Enero,2021,Linea 1,Zaragoza,-
205,2021-01-24,24,Enero,2021,Linea 1,Zaragoza,-
206,2021-01-25,25,Enero,2021,Linea 1,Zaragoza,17586
207,2021-01-26,26,Enero,2021,Linea 1,Zaragoza,23797
208,2021-01-27,27,Enero,2021,Linea 1,Zaragoza,15137
209,2021-01-28,28,Enero,2021,Linea 1,Zaragoza,16481
210,2021-01-29,29,Enero,2021,Linea 1,Zaragoza,15638
211,2021-01-30,30,Enero,2021,Linea 1,Zaragoza,15503
212,2021-01-31,31,Enero,2021,Linea 1,Zaragoza,7034
213,2021-02-01,1,Febrero,2021,Linea 1,Zaragoza,11567
214,2021-02-02,2,Febrero,2021,Linea 1,Zaragoza,"17,38"
215,2021-02-03,3,Febrero,2021,Linea 1,Zaragoza,18802
216,2021-02-04,4,Febrero,2021,Linea 1,Zaragoza,17562
217,2021-02-05,5,Febrero,2021,Linea 1,Zaragoza,20455
218,2021-02-06,6,Febrero,2021,Linea 1,Zaragoza,16299
219,2021-02-07,7,Febrero,2021,Linea 1,Zaragoza,10138
220,2021-02-08,8,Febrero,2021,Linea 1,Zaragoza,19421
221,2021-02-09,9,Febrero,2021,Linea 1,Zaragoza,"18,92"
222,2021-02-10,10,Febrero,2021,Linea 1,Zaragoza,20558
223,2021-02-11,11,Febrero,2021,Linea 1,Zaragoza,19573
224,2021-02-12,12,Febrero,2021,Linea 1,Zaragoza,18927
225,2021-02-13,13,Febrero,2021,Linea 1,Zaragoza,12758
226,2021-02-14,14,Febrero,2021,Linea 1,Zaragoza,11896
227,2021-02-15,15,Febrero,2021,Linea 1,Zaragoza,24231
228,2021-02-16,16,Febrero,2021,Linea 1,Zaragoza,22276
229,2021-02-17,17,Febrero,2021,Linea 1,Zaragoza,20552
230,2021-02-18,18,Febrero,2021,Linea 1,Zaragoza,27653
231,2021-02-19,19,Febrero,2021,Linea 1,Zaragoza,25481
232,2021-02-20,20,Febrero,2021,Linea 1,Zaragoza,"19,54"
233,2021-02-21,21,Febrero,2021,Linea 1,Zaragoza,10079
234,2021-02-22,22,Febrero,2021,Linea 1,Zaragoza,24125
235,2021-02-23,23,Febrero,2021,Linea 1,Zaragoza,23376
236,2021-02-24,24,Febrero,2021,Linea 1,Zaragoza,23483
237,2021-02-25,25,Febrero,2021,Linea 1,Zaragoza,23268
238,2021-02-26,26,Febrero,2021,Linea 1,Zaragoza,23105
239,2021-02-27,27,Febrero,2021,Linea 1,Zaragoza,18085
240,2021-02-28,28,Febrero,2021,Linea 1,Zaragoza,16436
241,2021-03-01,1,Marzo,2021,Linea 1,Zaragoza,25218
242,2021-03-02,2,Marzo,2021,Linea 1,Zaragoza,"23,33"
243,2021-03-03,3,Marzo,2021,Linea 1,Zaragoza,25998
244,2021-03-04,4,Marzo,2021,Linea 1,Zaragoza,24585
245,2021-03-05,5,Marzo,2021,Linea 1,Zaragoza,25497
246,2021-03-06,6,Marzo,2021,Linea 1,Zaragoza,18769
247,2021-03-07,7,Marzo,2021,Linea 1,Zaragoza,11499
